b	switch	start	end	contig
1	NA	52118	57810	Ctg001
51	0	57810	64702	Ctg001
101	0	64702	69531	Ctg001
151	0	69531	74609	Ctg001
201	0	74609	83588	Ctg001
251	0	92014	98307	Ctg001
301	0	98307	105445	Ctg001
351	0	105445	110483	Ctg001
401	0	110483	115616	Ctg001
451	0	115616	117661	Ctg001
501	0	117661	123660	Ctg001
551	0	123660	140805	Ctg001
601	0	140805	150020	Ctg001
651	0	150020	154274	Ctg001
701	0	154274	165993	Ctg001
751	0	166317	181147	Ctg001
801	0	181147	188170	Ctg001
851	0	188170	195938	Ctg001
901	0	195938	202586	Ctg001
951	0	204518	205561	Ctg001
1001	0	205561	214312	Ctg001
1051	0	215300	223508	Ctg001
1101	0	223870	228613	Ctg001
1151	0	228613	240872	Ctg001
1201	0	241087	244225	Ctg001
1251	0	244225	252295	Ctg001
1301	0	252295	259671	Ctg001
1351	0	259671	265338	Ctg001
1401	0	265338	266943	Ctg001
1451	0	266943	276258	Ctg001
1501	0	276258	282591	Ctg001
1551	0	282591	288488	Ctg001
1601	0	294108	301593	Ctg001
1651	0	301593	311375	Ctg001
1701	0	311375	316913	Ctg001
1751	0	316913	325385	Ctg001
1801	0	325785	330925	Ctg001
1851	0	330925	335615	Ctg001
1901	0	335615	339879	Ctg001
1951	0	339879	349042	Ctg001
2001	0	349042	355652	Ctg001
2051	0	356172	362853	Ctg001
2101	0	362853	372058	Ctg001
2151	0	372058	379404	Ctg001
2201	0	379404	382682	Ctg001
2251	0	382682	386200	Ctg001
2301	0	386200	389166	Ctg001
2351	0	389166	394071	Ctg001
2401	0	394071	401608	Ctg001
2451	0	401608	407872	Ctg001
2501	0	409857	415637	Ctg001
2551	0	415637	422490	Ctg001
2601	0	422490	426088	Ctg001
2651	0	426088	431193	Ctg001
2701	0	431193	447439	Ctg001
2751	0	447439	451412	Ctg001
2801	0	451412	459484	Ctg001
2851	0	459484	465122	Ctg001
2901	0	465122	478336	Ctg001
2951	0	479630	484392	Ctg001
3001	0	484392	490364	Ctg001
3051	0	490364	495785	Ctg001
3101	0	497426	503893	Ctg001
3151	0	503893	529526	Ctg001
3201	0	529526	535418	Ctg001
3251	0	535418	541641	Ctg001
3301	0	541641	553503	Ctg001
3351	0	553503	561512	Ctg001
3401	0	561512	578608	Ctg001
3451	0	578608	582558	Ctg001
3501	0	582558	591033	Ctg001
3551	0	591033	601500	Ctg001
3601	0	601500	612627	Ctg001
3651	0	612627	622633	Ctg001
3701	0	622633	630252	Ctg001
3751	0	630252	633646	Ctg001
3801	0	633646	638877	Ctg001
3851	0	639309	646387	Ctg001
3901	0	646387	658029	Ctg001
3951	0	658029	665433	Ctg001
4001	0	665433	678107	Ctg001
4051	0	678107	684136	Ctg001
4101	0	684136	691225	Ctg001
4151	0	691225	699795	Ctg001
4201	0	699795	708630	Ctg001
4251	0	708630	717404	Ctg001
4301	0	717440	724994	Ctg001
4351	0	724994	735116	Ctg001
4401	0	735116	748735	Ctg001
4451	0	748735	756396	Ctg001
4501	0	756396	764416	Ctg001
4551	0	764416	769920	Ctg001
4601	0	769920	785155	Ctg001
4651	0	785155	794587	Ctg001
4701	0	795578	803770	Ctg001
4751	0	803770	818505	Ctg001
4801	0	818505	825603	Ctg001
4851	0	825603	831914	Ctg001
4901	0	831914	839647	Ctg001
4951	0	839647	842792	Ctg001
5001	0	845038	852768	Ctg001
5051	0	852768	859238	Ctg001
5101	0	859238	867058	Ctg001
5151	0	867058	871026	Ctg001
5201	0	871026	882287	Ctg001
5251	0	882287	893523	Ctg001
5301	0	893523	898820	Ctg001
5351	0	900346	914666	Ctg001
5401	0	914666	919466	Ctg001
5451	0	919466	925817	Ctg001
5501	0	925817	929387	Ctg001
5551	0	929387	933809	Ctg001
5601	0	933809	935966	Ctg001
5651	0	935966	941252	Ctg001
5701	0	941252	956017	Ctg001
5751	0	956017	962060	Ctg001
5801	0	962060	967653	Ctg001
5851	0	967653	975020	Ctg001
5901	0	975020	980873	Ctg001
5951	0	980873	988736	Ctg001
6001	0	988736	994592	Ctg001
6051	0	994592	998618	Ctg001
6101	0	998618	1005065	Ctg001
6151	0	1005065	1011490	Ctg001
6201	0	1011490	1013980	Ctg001
6251	0	1013980	1027241	Ctg001
6301	0	1027241	1035864	Ctg001
6351	0	1037629	1039638	Ctg001
6401	0	1039638	1045675	Ctg001
6451	0	1045675	1049570	Ctg001
6501	0	1049570	1050598	Ctg001
6551	0	1050598	1051345	Ctg001
6601	0	1051345	1052646	Ctg001
6651	0	1052925	1054578	Ctg001
6701	0	1054669	1055997	Ctg001
6751	0	1056032	1056937	Ctg001
6801	0	1056937	1058059	Ctg001
6851	0	1058059	1059305	Ctg001
6901	0	1059317	1060572	Ctg001
6951	0	1060572	1061661	Ctg001
7001	0	1061661	1063442	Ctg001
7051	0	1063442	1065013	Ctg001
7101	0	1065036	1065906	Ctg001
7151	0	1065992	1067457	Ctg001
7201	0	1067457	1069031	Ctg001
7251	0	1069031	1071116	Ctg001
7301	0	1071116	1072121	Ctg001
7351	0	1072121	1074595	Ctg001
7401	0	1074595	1076022	Ctg001
7451	0	1076022	1077062	Ctg001
7501	0	1077062	1078592	Ctg001
7551	0	1078592	1080122	Ctg001
7601	0	1080246	1081521	Ctg001
7651	0	1081521	1084333	Ctg001
7701	0	1084575	1085325	Ctg001
7751	0	1085461	1087146	Ctg001
7801	0	1087146	1087847	Ctg001
7851	0	1087847	1090537	Ctg001
7901	0	1090605	1092814	Ctg001
7951	0	1092814	1094954	Ctg001
8001	0	1094954	1096166	Ctg001
8051	0	1096166	1097660	Ctg001
8101	0	1097660	1098839	Ctg001
8151	0	1098839	1100095	Ctg001
8201	0	1100095	1101571	Ctg001
8251	0	1101571	1102857	Ctg001
8301	0	1102857	1104523	Ctg001
8351	0	1104523	1105733	Ctg001
8401	0	1105733	1106744	Ctg001
8451	0	1106744	1108279	Ctg001
8501	0	1108279	1109398	Ctg001
8551	0	1109398	1110247	Ctg001
8601	0	1110247	1111164	Ctg001
8651	0	1111164	1111989	Ctg001
8701	0	1111989	1113173	Ctg001
8751	0	1113173	1114330	Ctg001
8801	0	1114330	1115680	Ctg001
8851	0	1115680	1116907	Ctg001
8901	0	1116944	1118664	Ctg001
8951	0	1118664	1119199	Ctg001
9001	0	1119199	1121489	Ctg001
9051	0	1121789	1123320	Ctg001
9101	0	1123380	1125842	Ctg001
9151	0	1125864	1127079	Ctg001
9201	0	1127565	1129540	Ctg001
9251	0	1129540	1130669	Ctg001
9301	0	1130669	1131677	Ctg001
9351	0	1131677	1132309	Ctg001
9401	0	1132309	1132632	Ctg001
9451	0	1132682	1137187	Ctg001
9501	0	1137187	1137971	Ctg001
9551	0	1137971	1138292	Ctg001
9601	0	1138292	1139917	Ctg001
9651	0	1139917	1140576	Ctg001
9701	0	1140576	1141959	Ctg001
9751	0	1141985	1142761	Ctg001
9801	0	1142761	1143258	Ctg001
9851	0	1143258	1143537	Ctg001
9901	0	1143537	1145002	Ctg001
9951	0	1145002	1145640	Ctg001
10001	0	1145640	1146984	Ctg001
10051	0	1146984	1147446	Ctg001
10101	0	1147446	1147986	Ctg001
10151	0	1147986	1148831	Ctg001
10201	0	1148831	1149869	Ctg001
10251	0	1149978	1150726	Ctg001
10301	0	1150726	1151677	Ctg001
10351	0	1151677	1152185	Ctg001
10401	0	1152185	1154491	Ctg001
10451	0	1154517	1208804	Ctg001
10501	0	1208804	1211793	Ctg001
10551	0	1211793	1214951	Ctg001
10601	0	1214951	1218403	Ctg001
10651	0	1218403	1222422	Ctg001
10701	0	1222422	1225054	Ctg001
10751	0	1226954	1228130	Ctg001
10801	0	1228130	1232337	Ctg001
10851	0	1232337	1243999	Ctg001
10901	0	1244726	1255225	Ctg001
10951	0	1255225	1261335	Ctg001
11001	0	1261335	1268898	Ctg001
11051	0	1268898	1275112	Ctg001
11101	0	1277451	1281424	Ctg001
11151	0	1281424	1288226	Ctg001
11201	0	1288324	1298713	Ctg001
11251	0	1298713	1306104	Ctg001
11301	0	1306104	1320820	Ctg001
11351	0	1320820	1331969	Ctg001
11401	0	1331969	1349890	Ctg001
11451	0	1349890	1354075	Ctg001
11501	0	1354075	1361660	Ctg001
11551	0	1361660	1365455	Ctg001
11601	0	1365455	1378433	Ctg001
11651	0	1379027	1384883	Ctg001
11701	0	1384883	1391996	Ctg001
11751	0	1391996	1411282	Ctg001
11801	0	1411282	1417824	Ctg001
11851	0	1417824	1424655	Ctg001
11901	0	1424655	1437107	Ctg001
11951	0	1437107	1450380	Ctg001
12001	0	1450380	1459592	Ctg001
12051	0	1459592	1464340	Ctg001
12101	0	1464340	1466805	Ctg001
12151	0	1469026	1474384	Ctg001
12201	0	1474384	1480183	Ctg001
12251	0	1480183	1487803	Ctg001
12301	0	1487803	1490488	Ctg001
12351	0	1490488	1500977	Ctg001
12401	0	1501463	1508360	Ctg001
12451	0	1508360	1514549	Ctg001
12501	0	1515187	1520313	Ctg001
12551	0	1520313	1525216	Ctg001
12601	0	1525216	1527701	Ctg001
12651	0	1528382	1530545	Ctg001
12701	0	1531048	1532674	Ctg001
12751	0	1532674	1538063	Ctg001
12801	0	1538063	1543679	Ctg001
12851	0	1543679	1549174	Ctg001
12901	0	1550335	1552078	Ctg001
12951	0	1552078	1558669	Ctg001
13001	0	1558669	1608372	Ctg001
13051	0	1608372	1613168	Ctg001
13101	0	1613168	1617957	Ctg001
13151	0	1617957	1623421	Ctg001
13201	0	1623986	1632913	Ctg001
13251	0	1632913	1636481	Ctg001
13301	0	1636481	1642862	Ctg001
13351	0	1642862	1650712	Ctg001
13401	0	1650785	1655643	Ctg001
13451	0	1655643	1658850	Ctg001
13501	0	1658850	1663360	Ctg001
13551	0	1663560	1665547	Ctg001
13601	0	1665547	1666336	Ctg001
13651	0	1666336	1667325	Ctg001
13701	0	1667325	1671995	Ctg001
13751	0	1672013	1673610	Ctg001
13801	0	1673704	1674297	Ctg001
13851	0	1674297	1674954	Ctg001
13901	0	1674954	1675136	Ctg001
13951	0	1675196	1675635	Ctg001
14001	0	1675635	1682697	Ctg001
14051	0	1682740	1685229	Ctg001
14101	0	1685229	1686153	Ctg001
14151	2	1686182	1688052	Ctg001
14201	0	1688052	1689332	Ctg001
14251	0	1689479	1690769	Ctg001
14301	0	1690769	1691893	Ctg001
14351	0	1691985	1693799	Ctg001
14401	3	1693799	1696042	Ctg001
14451	0	1696042	1697960	Ctg001
14501	0	1697960	1698884	Ctg001
14551	0	1698884	1700121	Ctg001
14601	0	1700121	1701252	Ctg001
14651	0	1701252	1702634	Ctg001
14701	0	1702634	1703306	Ctg001
14751	10	1703461	1707315	Ctg001
14801	0	1707315	1708260	Ctg001
14851	0	1708260	1709469	Ctg001
